filename,title,source,url,topic,lang,role
Manejo-ecológico-del-suelo.pdf,Manejo ecológico del suelo,Ana Primavesi (distribucion libre),,suelos,es,answerable
suelo-y-salud-vegetal-animal-y-humana.pdf,"Suelo y salud vegetal, animal y humana",Ana Primavesi (distribucion libre),,suelos,es,answerable
La replantacion de los cerros aridos de chile.pdf,La replantación de los cerros áridos de Chile,Federico Albert (dominio público),,agroforestry,es,answerable
WorldFish_Integrated_Agri_Aquaculture.pdf,Integrated Agriculture-Aquaculture Systems for Food Security,WorldFish Center,https://digitalarchive.worldfishcenter.org/bitstreams/88746837-e699-4d1f-902d-12284e924d94/download,aquaculture,en,answerable
CL_INIA42_Tukukawe.pdf,Tukukawe: Cultivando con una mirada Labkenche (Libro INIA 42),INIA Chile / CIREN,https://bibliotecadigital.ciren.cl/server/api/core/bitstreams/db8b42a8-3d07-4453-bfe3-24b5342e6146/content,agroecologia,es,answerable
OSU_Training_Pruning_Home_Orchard_PNW400.pdf,Training and Pruning Your Home Orchard (PNW 400),Oregon State University Extension,https://extension.oregonstate.edu/sites/extd8/files/catalog/auto/PNW400.pdf,fruticultura,en,answerable
UGA_Home_Fruit_Orchard_Pruning.pdf,Home Fruit Orchard Pruning Techniques (C-1087),University of Georgia Extension,https://site.extension.uga.edu/laurensgarden/files/2020/01/C-1087_2-Home-Fruit-Orchard-Pruning-Techniques.pdf,fruticultura,en,answerable
ColoradoMG_Tree_Fruits.pdf,Tree Fruits (Master Gardener GardenNotes 770),Colorado State University Extension,https://cmg.extension.colostate.edu/wp-content/uploads/sites/59/2020/01/GN-770-Tree-Fruits.pdf,fruticultura,en,answerable
PennState_Oyster_Mushroom_Cultivation.pdf,Cultivation of Oyster Mushrooms,Penn State,https://www.mushroomcompany.com/resources/oyster/paoyster.pdf,mushrooms,en,answerable
GrowBiointensive_Farming_Gardening.pdf,GROW BIOINTENSIVE Farming and Gardening,Ecology Action (John Jeavons),https://cefs.ncsu.edu/wp-content/uploads/growbiointensive.pdf,horticulture,en,answerable
KState_Hugelkultur.pdf,Hügelkultur: Permaculture Raised Beds,Kansas State University Extension,https://hnr.k-state.edu/extension/horticulture-resource-center/horticulture-newsletter/documents/2024/march2024/Hugelkultur%20template.pdf,permaculture,en,answerable
